SITE,DATE,TYPE,MAX_DEPTH,MIN_DEPTH,LAT_IN,LON_IN,LAT_OUT,LON_OUT,TIME_IN,DURATION,NOTES
SWB01,2019-09-06,Agassiz,121,121,44 39.85,124 28.85,44 39.80,124 29.32,1330,18,lots of sedementary rocks
SWB02,2019-09-06,Agassiz,239,220,44 40.5251,124 36.6604,44 40 5189,124 37.0187,1528,15,
SWB03,2019-09-06,Agassiz,307,307,44 42.02,124 50.266,44 42.70,124 51.07,1709,15,
CAS13,2019-09-07,Agassiz,122,118,43 19.2655,124 34.4241,43 19.2527,124 34.7365,1713,15,
CAS06,2019-09-07,Agassiz,860,854,43 21.0694,124 57.3953,43 21.4519,124 57.3409,0828,16,
CAS07,2019-09-07,Agassiz,702,699,43 21.0479,124 54.6821,43 21.2256,124 54.5796,0955,14,
CAS08,2019-09-07,Agassiz,620,593,43 20.5161,124 47.2622,43 20.6946,124 47.3824,1150,15,
CAS09,2019-09-07,Agassiz,503,490,43 20.3954,124 46.2681,43 20.4937,124 46.3719,1316,15,
CAS11A,2019-09-07,Agassiz,216,201,43 20.0447,124 40.6997,43 20.2787,124 40.9694,1454,16,net tore
CAS11B,2019-09-07,Agassiz,220,203,43 20.4998,124 40.7158,43 20.307,124 41.1236,1607,15,redeployment b/c of net tear
HV15,2019-09-08,Agassiz,130,130,45 59.5643,124 43.6689,43 59.1564,124 43.6807,0712,17,
NPV04,2019-09-06,Agassiz,911,911,44 34.2646,124 59.0977,44 34.1880,125 01.4704,1940,15,
CAS14,2019-09-07,Agassiz,390,366,43 20.119,124 43.1348,43 20.3464,124 43.2881,1834,15,
HV16,2019-09-08,Agassiz,225,183,44 18.706,124 50.1861,44 18.9092,124 49.8218,0940,20,
HV17,2019-09-08,Agassiz,265,248,44 32.14,124 39.007,44 32.61,124 38.48,1131,30,
